Categoría,Título,Copete,Link
sociedad,"La felicidad según Carlos Tevez y Guido Kaczka, y los ejes de la edición 2023 de la Cumbre de Jóvenes Líderes",El ex futbolista y el actual conductor de televisión compartieron sus experiencias en un teatro porteño ante más de 600 jóvenes. Las principales conclusiones vertidas en un encuentro que tiene como objetivo promover el desarrollo de las nuevas generaciones y que contó con la disertación de 22 consagrados profesionales,https://www.infobae.com/ultimas-noticias//sociedad/2023/05/12/la-felicidad-segun-carlos-tevez-y-guido-kaczka-y-los-ejes-de-la-edicion-2023-de-la-cumbre-de-jovenes-lideres/
salud,Cómo acompañar a los adolescentes que inician una transición de género,"La Ciudad de Buenos Aires aprobó, recientemente, que los mayores de 16 años pueden solicitar el cambio de nombre y sexo, sin necesidad del permiso de sus padres, para obtener un nuevo DNI. El impacto de esta medida en la salud mental de los chicos",https://www.infobae.com/ultimas-noticias//salud/2023/05/12/como-acompanar-a-los-adolescentes-que-inician-una-transicion-de-genero/
tendencias,"Llega el sexto Festival de la Cocina Israelí a Buenos Aires, una guía para deleitarse con sabores de Medio Oriente","En el marco del evento “Buenos Aires Celebra Israel”, el domingo 14 de mayo se podrán disfrutar las opciones gastronómicas típicas de ese país. Cuáles son los platos célebres y por qué es furor la comida callejera",https://www.infobae.com/ultimas-noticias//tendencias/2023/05/12/llega-el-sexto-festival-de-la-cocina-israeli-a-buenos-aires-una-guia-para-deleitarse-con-sabores-de-medio-oriente/
opinion,"La inflación mensual, ese dato viejo que a nadie le importa demasiado",Tal como estaba previsto originalmente hoy se estará dando a conocer el índice inflacionario correspondiente a abril,https://www.infobae.com/ultimas-noticias//opinion/2023/05/12/la-inflacion-mensual-ese-dato-viejo-que-a-nadie-le-importa-demasiado/
economia,El Banco Central ya emitió más de 1 billón de pesos en el año para cubrir el déficit fiscal,"Un tercio de los pesos se giraron al Tesoro como adelantos transitorios mientras que el resto se volcó al mercado para comprar deuda en moneda nacional, operatoria que se prevé se profundizará en los próximos días",https://www.infobae.com/ultimas-noticias//economia/2023/05/12/el-banco-central-ya-emitio-mas-de-1-billon-de-pesos-en-el-ano-para-cubrir-el-deficit-fiscal/
mexico,El Título 42 ya es historia: miles de migrantes aguardan en la frontera una nueva era entre Estados Unidos y México,La Administración de Biden evita el estallido de una crisis con el fin de la medida de Trump que permitía la expulsión en caliente. El cambio no ataja los problemas en la línea divisoria ni entre los Gobiernos de ambos países,https://elpais.com/mexico/2023-05-12/el-titulo-42-ya-es-historia-miles-de-migrantes-aguardan-en-la-frontera-una-nueva-era-entre-ee-uu-y-mexico.html
internacional,Washington advierte de que “la frontera no está abierta” pese al cambio de medidas migratorias,El secretario de Seguridad Nacional insiste en que los migrantes irregulares que no cumplan los requisitos de asilo serán expulsados,https://elpais.com/internacional/2023-05-11/estados-unidos-advierte-de-que-la-frontera-no-esta-abierta-pese-al-fin-del-titulo-42.html
america-colombia,Gustavo Petro advierte de que algunos “conspiran para un golpe de Estado”,La relación entre el presidente y un gran sector de hombres retirados de la fuerza pública pasa por su peor momento,https://elpais.com/america-colombia/2023-05-11/gustavo-petro-alerta-de-un-deseo-de-golpe-de-estado-en-su-contra.html
opinion,"Argentina, un país (a)normal","Con las urnas suspendidas cuando ya estaba todo listo para este domingo, le sumamos más anormalidad a nuestra normal anormalidad",https://elpais.com/opinion/2023-05-11/argentina-un-pais-anormal.html
mexico,Sentencia histórica contra el agresor de Carmen Sánchez: 46 años de cárcel por atacar con ácido a una mujer en México,El fallo llega nueve años después de la agresión de su expareja y es la primera condena en América Latina que sanciona de manera ejemplar un ataque así,https://elpais.com/mexico/2023-05-11/sentencia-historica-contra-el-agresor-de-carmen-sanchez-46-anos-de-carcel-por-atacar-con-acido-a-una-mujer-en-mexico.html
internacional,El exmarine que asfixió a un doble de Jackson en Nueva York será imputado por homicidio involuntario,"Daniel Penny, blanco, causó la muerte al afroamericano Jordan Neely, un vagabundo con problemas mentales, al intentar aplacarle en un vagón de metro el pasado 1 de mayo",https://elpais.com/internacional/2023-05-11/el-exmarine-que-asfixio-a-un-doble-de-jackson-en-nueva-york-sera-imputado-por-homicidio-involuntario.html
deportes,La justicia de Brasil acusa a siete futbolistas de amañar partidos en una trama de apuestas ‘online’,Una banda les pagaba hasta 20.000 dólares a jugadores por provocar un penalti o una derrota de su equipo para maximizar las ganancias,https://elpais.com/deportes/2023-05-11/la-justicia-de-brasil-acusa-a-siete-futbolistas-de-amanar-partidos-en-una-trama-de-apuestas-online.html
